City,State,Tier,Skill,Skill_Key,City_Key,Rate_Type,Rate_Mode,Unit,Currency,Local_Hourly_Min_INR,Local_Hourly_Max_INR,Local_Day_Min_INR,Local_Day_Max_INR,Platform_Cost_Min_INR,Platform_Cost_Max_INR,Platform_Cost_Basis,Effective_From,Effective_To,Is_Active,Source,Confidence
Delhi,National Capital,Tier 1,Mason / Bricklayer,mason,delhi,mixed,daily,day,INR,150,195,1200,1560,1900,3300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Tiler,tiler,delhi,mixed,daily,day,INR,140,180,1120,1440,1700,2900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Welder,welder,delhi,mixed,daily,day,INR,160,210,1280,1680,1900,3100,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,AC Technician,ac_technician,delhi,mixed,daily,day,INR,190,260,1520,2080,3800,6500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Deep Cleaning / Housekeeping,deep_cleaning,delhi,mixed,daily,day,INR,115,150,920,1200,2600,5000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Pest Control,pest_control,delhi,per_visit,per_visit,visit,INR,,,1100,1900,1700,3800,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Handyman / General Helper,handyman,delhi,mixed,daily,day,INR,95,125,760,1000,1400,2400,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Waterproofing Specialist,waterproofing,delhi,mixed,daily,day,INR,168,218,1344,1744,2400,3800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,False Ceiling Specialist,false_ceiling,delhi,mixed,daily,day,INR,168,220,1344,1760,2400,4000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Interior Designer (Basic),interior_designer,delhi,mixed,daily,day,INR,380,580,3040,4640,4800,9500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Roofer,roofer,delhi,mixed,daily,day,INR,148,192,1184,1536,1900,3300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Flooring Specialist,flooring,delhi,mixed,daily,day,INR,142,185,1136,1480,1800,3100,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Furniture Assembler / Carpenter,furniture_assembler,delhi,mixed,daily,day,INR,142,185,1136,1480,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Geyser / Water Heater Repair,geyser_repair,delhi,per_visit,per_visit,visit,INR,,,420,620,799,1499,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,RO / Water Purifier Service,ro_service,delhi,per_visit,per_visit,visit,INR,,,320,520,499,999,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Washing Machine Repair,washing_machine_repair,delhi,per_visit,per_visit,visit,INR,,,480,720,799,1599,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,TV / Electronics Repair,tv_repair,delhi,per_visit,per_visit,visit,INR,,,380,620,599,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Mobile Phone Repair,mobile_repair,delhi,per_visit,per_visit,visit,INR,,,320,580,499,999,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Computer / Laptop Repair,computer_repair,delhi,per_visit,per_visit,visit,INR,,,380,670,599,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Sofa / Upholstery Cleaning,sofa_cleaning,delhi,per_visit,per_visit,visit,INR,,,750,1300,1400,2800,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Landscaping / Gardener,landscaping,delhi,mixed,daily,day,INR,82,112,656,896,1100,2000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Security Guard,security_guard,delhi,mixed,daily,day,INR,78,100,780,1000,1400,2400,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Driver / Chauffeur,driver,delhi,mixed,daily,day,INR,120,158,1200,1580,1900,3300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Packers & Movers,packers_movers,delhi,per_visit,per_visit,visit,INR,,,3200,5500,4500,11000,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Construction Labour / Demolition,construction_labour,delhi,mixed,daily,day,INR,100,135,800,1080,1300,2200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Delhi,National Capital,Tier 1,Other,other,delhi,mixed,daily,day,INR,125,162,998,1296,1700,2900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Painter,painter,bangalore,mixed,daily,day,INR,125,155,1000,1250,1600,2400,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Plumber,plumber,bangalore,mixed,daily,day,INR,155,200,1240,1600,2700,4500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Electrician,electrician,bangalore,mixed,daily,day,INR,155,205,1240,1640,2700,4500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Carpenter,carpenter,bangalore,mixed,daily,day,INR,145,190,1160,1520,2300,4000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Mason / Bricklayer,mason,bangalore,mixed,daily,day,INR,150,190,1200,1520,1900,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Tiler,tiler,bangalore,mixed,daily,day,INR,135,175,1080,1400,1700,2800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Welder,welder,bangalore,mixed,daily,day,INR,155,205,1240,1640,1900,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,AC Technician,ac_technician,bangalore,mixed,daily,day,INR,180,245,1440,1960,3600,6000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Deep Cleaning / Housekeeping,deep_cleaning,bangalore,mixed,daily,day,INR,110,145,880,1160,2400,4800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Pest Control,pest_control,bangalore,per_visit,per_visit,visit,INR,,,1050,1800,1600,3500,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Handyman / General Helper,handyman,bangalore,mixed,daily,day,INR,92,122,736,976,1400,2300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Waterproofing Specialist,waterproofing,bangalore,mixed,daily,day,INR,162,210,1296,1680,2300,3700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,False Ceiling Specialist,false_ceiling,bangalore,mixed,daily,day,INR,160,210,1280,1680,2300,3900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Interior Designer (Basic),interior_designer,bangalore,mixed,daily,day,INR,360,550,2880,4400,4500,9000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Roofer,roofer,bangalore,mixed,daily,day,INR,142,185,1136,1480,1800,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Flooring Specialist,flooring,bangalore,mixed,daily,day,INR,135,178,1080,1424,1750,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Furniture Assembler / Carpenter,furniture_assembler,bangalore,mixed,daily,day,INR,135,178,1080,1424,1650,2900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Geyser / Water Heater Repair,geyser_repair,bangalore,per_visit,per_visit,visit,INR,,,400,600,799,1499,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,RO / Water Purifier Service,ro_service,bangalore,per_visit,per_visit,visit,INR,,,300,500,499,899,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Washing Machine Repair,washing_machine_repair,bangalore,per_visit,per_visit,visit,INR,,,460,700,799,1499,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,TV / Electronics Repair,tv_repair,bangalore,per_visit,per_visit,visit,INR,,,360,600,549,1199,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Mobile Phone Repair,mobile_repair,bangalore,per_visit,per_visit,visit,INR,,,300,550,449,899,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Computer / Laptop Repair,computer_repair,bangalore,per_visit,per_visit,visit,INR,,,360,640,549,1199,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Sofa / Upholstery Cleaning,sofa_cleaning,bangalore,per_visit,per_visit,visit,INR,,,720,1250,1350,2700,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Landscaping / Gardener,landscaping,bangalore,mixed,daily,day,INR,80,108,640,864,1100,2000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Security Guard,security_guard,bangalore,mixed,daily,day,INR,75,98,750,980,1350,2300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Driver / Chauffeur,driver,bangalore,mixed,daily,day,INR,115,152,1150,1520,1800,3200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Packers & Movers,packers_movers,bangalore,per_visit,per_visit,visit,INR,,,3000,5200,4200,10500,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Construction Labour / Demolition,construction_labour,bangalore,mixed,daily,day,INR,105,140,840,1120,1350,2300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Bangalore,Karnataka,Tier 1,Other,other,bangalore,mixed,daily,day,INR,120,158,960,1264,1650,2800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Painter,painter,hyderabad,mixed,daily,day,INR,120,155,950,1250,1500,2300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Plumber,plumber,hyderabad,mixed,daily,day,INR,140,185,1120,1480,2500,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Electrician,electrician,hyderabad,mixed,daily,day,INR,140,185,1120,1480,2500,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Carpenter,carpenter,hyderabad,mixed,daily,day,INR,130,175,1040,1400,2100,3700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Mason / Bricklayer,mason,hyderabad,mixed,daily,day,INR,130,170,1040,1360,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Tiler,tiler,hyderabad,mixed,daily,day,INR,125,165,1000,1320,1600,2700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Welder,welder,hyderabad,mixed,daily,day,INR,145,190,1160,1520,1800,2900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,AC Technician,ac_technician,hyderabad,mixed,daily,day,INR,175,240,1400,1920,3500,5800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Deep Cleaning / Housekeeping,deep_cleaning,hyderabad,mixed,daily,day,INR,105,140,840,1120,2200,4500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Pest Control,pest_control,hyderabad,per_visit,per_visit,visit,INR,,,1000,1700,1500,3200,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Handyman / General Helper,handyman,hyderabad,mixed,daily,day,INR,88,118,704,944,1300,2200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Waterproofing Specialist,waterproofing,hyderabad,mixed,daily,day,INR,155,200,1240,1600,2200,3500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,False Ceiling Specialist,false_ceiling,hyderabad,mixed,daily,day,INR,150,198,1200,1584,2200,3700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Interior Designer (Basic),interior_designer,hyderabad,mixed,daily,day,INR,340,520,2720,4160,4200,8500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Roofer,roofer,hyderabad,mixed,daily,day,INR,132,175,1056,1400,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Flooring Specialist,flooring,hyderabad,mixed,daily,day,INR,128,168,1024,1344,1650,2800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Furniture Assembler / Carpenter,furniture_assembler,hyderabad,mixed,daily,day,INR,128,168,1024,1344,1550,2700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Geyser / Water Heater Repair,geyser_repair,hyderabad,per_visit,per_visit,visit,INR,,,380,580,699,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,RO / Water Purifier Service,ro_service,hyderabad,per_visit,per_visit,visit,INR,,,280,480,449,849,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Washing Machine Repair,washing_machine_repair,hyderabad,per_visit,per_visit,visit,INR,,,440,680,749,1399,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,TV / Electronics Repair,tv_repair,hyderabad,per_visit,per_visit,visit,INR,,,340,570,499,1099,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Mobile Phone Repair,mobile_repair,hyderabad,per_visit,per_visit,visit,INR,,,280,520,399,849,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Computer / Laptop Repair,computer_repair,hyderabad,per_visit,per_visit,visit,INR,,,340,600,499,1099,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Sofa / Upholstery Cleaning,sofa_cleaning,hyderabad,per_visit,per_visit,visit,INR,,,680,1200,1300,2500,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Landscaping / Gardener,landscaping,hyderabad,mixed,daily,day,INR,75,102,600,816,1000,1900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Security Guard,security_guard,hyderabad,mixed,daily,day,INR,72,95,720,950,1300,2200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Driver / Chauffeur,driver,hyderabad,mixed,daily,day,INR,108,145,1080,1450,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Packers & Movers,packers_movers,hyderabad,per_visit,per_visit,visit,INR,,,2800,5000,4000,10000,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Construction Labour / Demolition,construction_labour,hyderabad,mixed,daily,day,INR,95,128,760,1024,1250,2100,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Hyderabad,Telangana,Tier 1,Other,other,hyderabad,mixed,daily,day,INR,112,148,896,1184,1550,2700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Painter,painter,chennai,mixed,daily,day,INR,120,155,950,1250,1500,2300,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Plumber,plumber,chennai,mixed,daily,day,INR,140,185,1120,1480,2500,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Electrician,electrician,chennai,mixed,daily,day,INR,140,185,1120,1480,2500,4200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Carpenter,carpenter,chennai,mixed,daily,day,INR,130,175,1040,1400,2100,3700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Mason / Bricklayer,mason,chennai,mixed,daily,day,INR,130,170,1040,1360,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Tiler,tiler,chennai,mixed,daily,day,INR,125,165,1000,1320,1600,2700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Welder,welder,chennai,mixed,daily,day,INR,145,190,1160,1520,1800,2900,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,AC Technician,ac_technician,chennai,mixed,daily,day,INR,175,240,1400,1920,3500,5800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Deep Cleaning / Housekeeping,deep_cleaning,chennai,mixed,daily,day,INR,105,140,840,1120,2200,4500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Pest Control,pest_control,chennai,per_visit,per_visit,visit,INR,,,1000,1700,1500,3200,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Handyman / General Helper,handyman,chennai,mixed,daily,day,INR,88,118,704,944,1300,2200,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Waterproofing Specialist,waterproofing,chennai,mixed,daily,day,INR,155,200,1240,1600,2200,3500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,False Ceiling Specialist,false_ceiling,chennai,mixed,daily,day,INR,150,198,1200,1584,2200,3700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Interior Designer (Basic),interior_designer,chennai,mixed,daily,day,INR,340,520,2720,4160,4200,8500,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Roofer,roofer,chennai,mixed,daily,day,INR,132,175,1056,1400,1700,3000,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Flooring Specialist,flooring,chennai,mixed,daily,day,INR,128,168,1024,1344,1650,2800,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Furniture Assembler / Carpenter,furniture_assembler,chennai,mixed,daily,day,INR,128,168,1024,1344,1550,2700,per_day_equiv,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,Geyser / Water Heater Repair,geyser_repair,chennai,per_visit,per_visit,visit,INR,,,380,580,699,1299,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
Chennai,Tamil Nadu,Tier 1,RO / Water Purifier Service,ro_service,chennai,per_visit,per_visit,visit,INR,,,280,480,449,849,per_visit,2025-01-01,,TRUE,csv_bootstrap,0.75
